text,language,source,model,topic
"Uhlelo lokudla ezikolweni oluhlelwe uhulumeni lusebenza ngokukhuthala ukuqinisekisa ukuthi abafundi bathola ukudla okunempilo nsuku zonke. Lokhu kubalulekile ngoba isisu esigcwele sivumela umfundi ukuba agxile ngokugcwele ezifundweni zakhe ngaphandle kokungcwashelwa yindlala. UMnyango Wezemfundo Eyisisekelo uyaqonda ukuthi ukudla okunempilo kuyisisekelo sokuthuthuka kwemicabango nemiphumela engcono ezivivinyweni. Ngakho-ke, lezi zinyathelo ziyisisekelo sokwakha ikusasa eliqhakazile lezintsha zaseNingizimu Afrika.",zul,machine,gemma-4-31b-it,Izisu ezigcwele ziholela emiphumeleni engcono
"Recognizing that hunger is a significant barrier to learning, the South African government has implemented a robust school nutrition program to support students across the country. Through the Department of Basic Education, learners are provided with healthy meals to ensure they can concentrate fully on their studies. By prioritizing nutrition, the government aims to boost academic performance and ensure that every child has the energy needed to succeed in the classroom.",eng,machine,gemma-4-31b-it,Izisu ezigcwele ziholela emiphumeleni engcono
"UHulumeni waseNingizimu Afrika, ngokusebenza koMnyango Wezemfundo Eyisisekelo, uhlinzeka ngokudla okunempilo kubafundi ezikoleni. Lolu hlelo lwenzelwe ukuqinisekisa ukuthi abafundi abafundi belambile ukuze bakwazi ukugxila ngokuphelele ezifundweni zabo. Ukudla okunempilo kusiza ekuthuthukiseni amandla okuqonda nokukhumbula, okugcina kuholela emiphumeleni engcono kwezemfundo.",zul,machine,gemma-4-31b-it,Izisu ezigcwele ziholela emiphumeleni engcono
"The South African government, through the Department of Basic Education, provides healthy meals to students to ensure they can focus on their schoolwork. This initiative is based on the principle that proper nutrition is essential for better academic performance and cognitive function. By addressing hunger in schools, the program aims to create a foundation for improved educational outcomes for all learners.",eng,machine,gemma-4-31b-it,Izisu ezigcwele ziholela emiphumeleni engcono
"Uhulumeni waseNingizimu Afrika usebenzisa uhlelo lokudla ukuqinisekisa ukuthi abafundi banezisu ezigcwele ukuze bakwazi ukugxila emisebenzini yabo yesikole. Lolu hlelo luhlose ukuthuthukisa imiphumela yezifundo, njengoba ukudla okunempilo kuholela ekutheni abafundi babe nemiphumela engcono. UMnyango Wezemfundo Eyisisekelo ugcizelela ukuthi ukudla okunempilo kuyisisekelo sokusebenza kahle nokufunda ngempumelelo ezikoleni.",zul,machine,gemma-4-31b-it,Izisu ezigcwele ziholela emiphumeleni engcono
"The South African government is implementing a nutrition program to ensure students have access to healthy meals, recognizing that full stomachs lead to better academic results. The Department of Basic Education is driving this initiative to eliminate hunger as a barrier to learning, allowing students to focus more effectively on their schoolwork. By providing nutritious food, the government aims to improve overall educational outcomes and student performance across the country.",eng,machine,gemma-4-31b-it,Izisu ezigcwele ziholela emiphumeleni engcono
"Ukudla okunempilo kubaluleke kakhulu ekufundeni kwabafundi. Uma abafundi bephethwe ngokudla okwanele, bakwazi ukugxila kangcono ezifundweni zabo, okuletha imiphumela engcono esikoleni. UMnyango Wezemfundo Eyisisekelo uhlela uhlelo lokudla ukuze kuqinisekiswe ukuthi akukho mfundi ofunda elambile. Ngakho-ke, izisu ezigcwele ziyisisekelo sempumelelo yezemfundo.",zul,machine,gemma-4-31b-it,Izisu ezigcwele ziholela emiphumeleni engcono
"Proper nutrition is essential for academic success, as full stomachs lead to significantly better learning outcomes. In South Africa, the Department of Basic Education implements nutrition programs to ensure that students have access to healthy meals during the school day. When children are well-nourished, they can concentrate more effectively on their lessons and participate fully in their studies. Ultimately, reducing hunger in schools empowers students to reach their full potential and improve their overall educational performance.",eng,machine,gemma-4-31b-it,Izisu ezigcwele ziholela emiphumeleni engcono
"I-Central Application Clearing House (i-CACH) yinguhlelo olwesikhashana olungulwa uMnyango Wemfundo Ephakeme Nokuqeqesha ukuze lusize abafundi abangakatholi izindawo ezizikoleni. Lolu hlelo luhlose ukuxhumana abafundi abafuna ukufunda nezikhungo zemfundo ezinamasizeko avulekile, ukuqinisekisa ukuthi akekho umfundi okushiywa emuva. Ngonyaka ka-2018, i-CACH ibukele phambili ekulwiseni inkinga yokungabi nazo izindawo zokufunda, ikhuthaza abafundi ukuthi bafake izicelo zabo ukuze bathole amathuba afanele emfundweni ephakeme.",zul,machine,gemma-4-31b-it,I-Central Application Clearing House (i-CACH) Yowezi-2018
"The Department of Higher Education and Training launched the Central Application Clearing House, or i-CACH, as a critical intervention in 2018. This temporary initiative was established to assist students who had not yet secured placement at a higher education institution. By acting as a bridge between applicants and available spaces, i-CACH aimed to streamline the admissions process and increase overall access to tertiary education.",eng,machine,gemma-4-31b-it,I-Central Application Clearing House (i-CACH) Yowezi-2018
I-Central Application Clearing House (i-CACH) yinkqubo yesikhashana eyasungulwa uMnyango Wemfundo Ephakeme Nokuqeqesha ngo-2018. Inhloso yale nkqubo kwakuwukusiza abafundi abangakatholanga izindawo ezifanele ezizikoleni zemfundo ephakeme. I-CACH isiza ngokuxhumanisa abafundi nezikhungo zemfundo ezinamazinda avuliwe ukuze kube nokulinganiswa kwemifundiso. Lokhu kuqinisekisa ukuthi abafundi abafanelekile bathola amathuba okufunda ngisho noma bengazange bamukelwe ekuqaleni.,zul,machine,gemma-4-31b-it,I-Central Application Clearing House (i-CACH) Yowezi-2018
"The Central Application Clearing House (i-CACH) is a temporary initiative established by the Department of Higher Education and Training. Its primary goal is to assist students who are seeking placement in higher education and training institutions. By streamlining the application process, the system helps students find available opportunities and navigate their educational pathways more effectively.",eng,machine,gemma-4-31b-it,I-Central Application Clearing House (i-CACH) Yowezi-2018
UMnyango Wemfundo Ephakeme Nokuqeqesha usungule uhlelo olukhethekile olubizwa ngokuthi yi-Central Application Clearing House (i-CACH). Lolu hlelo luyisizathu sokusiza abafundi abafuna ukungena ezikhungweni zemfundo ephakeme kodwa abangakatholi izindawo. I-CACH isebenza njengendawo yokuhlanganisa izicelo zabafundi ukuze kuqinisekiswe ukuthi bathola amathuba afanele emanyuvesi nasemakolishi e-TVET. Lolu muzamo wezi-2018 uhlose ukuvula iminyango yemfundo kubafundi abaningi.,zul,machine,gemma-4-31b-it,I-Central Application Clearing House (i-CACH) Yowezi-2018
"The Department of Higher Education and Training established the Central Application Clearing House, known as i-CACH, as a temporary initiative to support students. This program is designed to assist applicants seeking placement into various higher education institutions. The i-CACH Yowezi-2018 cycle specifically aims to streamline the application process for eligible students. By facilitating these connections, the department seeks to improve access to further education and training.",eng,machine,gemma-4-31b-it,I-Central Application Clearing House (i-CACH) Yowezi-2018
"I-Central Application Clearing House (i-CACH) wuhlelo olwesikhashana olwasungulwa uMnyango Wemfundo Ephakeme Nokuqeqesha. Lolu hlelo lwakhelwe ukusiza abafundi abangakatholanga izindawo ezifanele ezinyuvesi noma emakolishi emva kwesikole. I-CACH ixhumanisa abafundi nabafuna izindawo zezifundo ukuze kube nokuxhumana okulula ekutholeni izindawo ezisasele. Ngale ndlela, abafundi banikezwa ithuba lokuthola imfundo ephakeme ukuze bathuthukise ikusasa labo.",zul,machine,gemma-4-31b-it,I-Central Application Clearing House (i-CACH) Yowezi-2018
The Central Application Clearing House (i-CACH) is a temporary initiative established by the Department of Higher Education and Training to assist students seeking placement in higher education institutions. It serves as a streamlined mechanism to help applicants find available spaces and navigate the admissions process more efficiently. This system ensures that eligible students are better connected with educational opportunities to further their studies.,eng,machine,gemma-4-31b-it,I-Central Application Clearing House (i-CACH) Yowezi-2018
"Umnyango uzibophezele ekutheni izisulu zokunukubezwa ngokocansi ziphathwe ngesizotha nangokunakekela okusezingeni eliphezulu. Ngakho-ke, kuqeqeshwa odokotela babe namakhono akhethekile okukwazi ukunikeza lusizo lwezempilo oluphelele nalolo lwesomqondo. Lolu hlelo luhlose ukunciphisa ubuhlungu nemizwa yokwesaba ezisulwini, ukuze bazizwe baphephile futhi bahlonishwa lapho befuna usizo. Eminyakeni emithathu edlule, kube nokukhula okubonakalayo kwezinani lodokotela abaqeqeshelwe ukubhekana nalo lolu hlobo lobugebengu ngendlela efanele.",zul,machine,gemma-4-31b-it,Ukuphathwa ngesizotha kwezisulu zokunukubezwa ngokocansi
"The Department is prioritizing the dignified treatment of sexual violence survivors by enhancing the specialized skills of healthcare providers. Through targeted training and equipping of doctors, the initiative aims to ensure that victims receive the compassionate and professional care they deserve. This effort has been underway for the past three years, significantly increasing the number of medical practitioners capable of supporting survivors of these crimes.",eng,machine,gemma-4-31b-it,Ukuphathwa ngesizotha kwezisulu zokunukubezwa ngokocansi
UMnyango uzimisele ukuqinisekisa ukuthi izisulu zokunukubezwa ngokocansi zithola usizo lwezempilo olusezingeni eliphezulu nolunesizotha. Lokhu kwenziwa ngokuqeqesha odokotela nokubanika amakhono akhethekile okukuphatha ngokunakekelo abantu abahlangabezana nalobu bugebengu. Lezi zinyathelo zihlose ukuqinisekisa ukuthi abasizwayo bathola ukunakekela okufanele okuzosiza ekulapheni kwabo nasekutholeni impilo engcono.,zul,machine,gemma-4-31b-it,Ukuphathwa ngesizotha kwezisulu zokunukubezwa ngokocansi
"The department is dedicated to enhancing healthcare for survivors of sexual abuse by ensuring they receive dignified treatment. To achieve this, doctors are being trained and equipped with specialized skills tailored to the specific needs of these survivors. This initiative reflects a broader commitment to providing comprehensive and compassionate medical care for all victims of such crimes.",eng,machine,gemma-4-31b-it,Ukuphathwa ngesizotha kwezisulu zokunukubezwa ngokocansi
"UMnyango uqinisekisa ukuphathwa ngesizotha kwezisulu zokunukubezwa ngokocansi ukuze kuqinisekiswe impilo engcono kubo bonke. Lokhu kwenziwa ngokuqeqesha nokuhlomisa odokotela ngamakhono akhethekile okupha tha izisulu zalobu bugebengu. Eminyakeni emithathu edlule, odokotela abaningi sebeqeqeshwe kuleli khono ukuze kuthuthukiswe ukunikezelwa kwezidingo zezempilo emiphakathini.",zul,machine,gemma-4-31b-it,Ukuphathwa ngesizotha kwezisulu zokunukubezwa ngokocansi
"The Department is enhancing the quality of healthcare for survivors of sexual violence by equipping doctors with specialized training and skills. This initiative aims to ensure that all survivors receive dignified, compassionate, and professional medical treatment. Over the past three years, the Department has focused on increasing the number of qualified medical personnel capable of providing this critical care.",eng,machine,gemma-4-31b-it,Ukuphathwa ngesizotha kwezisulu zokunukubezwa ngokocansi
Izisulu zokunukubezwa ngokocansi zidinga ukuphathwa ngesizotha nangothando ukuze zisize ekulapheni kwazo ngokwemizwa. Kubalulekile ukuba osisebenzi zezempilo baqinisekise ukuthi kunendawo ephephile nenokuyimfihlo lapho isisulu sizizwa sikhululwe futhi sisekelwe. Ukunakekelwa ngendlela enenhlonipho kunciphisa ubuhlungu bempilo futhi kunikeze isisulu amandla okufuna usizo lwezokwelapha kanye nobulungiswa ngaphandle kokwesaba. Le ndlela yokusebenza iqinisekisa ukuthi isithunzi sesisulu siyabuyiselwa.,zul,machine,gemma-4-31b-it,Ukuphathwa ngesizotha kwezisulu zokunukubezwa ngokocansi
"Providing dignified care to survivors of sexual violence is essential for their holistic physical and emotional recovery. This approach requires healthcare professionals to be trained in specialized skills to ensure that victims receive compassionate, respectful, and comprehensive medical attention. By prioritizing dignity and sensitivity, medical providers can help reduce re-traumatization and encourage survivors to seek the necessary support. Ultimately, integrating specialized training into healthcare systems ensures a safer and more supportive path toward healing for all survivors.",eng,machine,gemma-4-31b-it,Ukuphathwa ngesizotha kwezisulu zokunukubezwa ngokocansi
"UMnyango wezeMpilo usekuqaphelisisa kakhulu ukubhebhetheka kwesifo se-Listeriosis, okubeka izinsana engozini enkulu. Kubikwe ukuthi kukhona abantu aba-119 abatheleleke yilesi sifo kusukela ngomhla ka-5 kuZibandlela. Ngakho-ke, abazali bacelwa ukuba baqaphele kakhulu ukudla abakunika izinsana zabo ukuze kugwemwe ukubhebhetheka kalesi sifo esiyingozi.",zul,machine,gemma-4-31b-it,Izinsana zisengcupheni enkulu ye-Listeriosis
